antecedent,consequent,support,confidence,lift
"citrus fruit, other vegetables",root vegetables,0.0104,0.3592,3.295
"other vegetables, tropical fruit",root vegetables,0.0123,0.3428,3.1448
beef,root vegetables,0.0174,0.3314,3.0404
"citrus fruit, root vegetables",other vegetables,0.0104,0.5862,3.0296
"root vegetables, tropical fruit",other vegetables,0.0123,0.5845,3.021
"other vegetables, whole milk",root vegetables,0.0232,0.3098,2.8421
"curd, whole milk",yogurt,0.0101,0.3852,2.7614
"other vegetables, yogurt",root vegetables,0.0129,0.2974,2.7287
"other vegetables, yogurt",tropical fruit,0.0123,0.2834,2.7005
"other vegetables, rolls/buns",root vegetables,0.0122,0.2864,2.6275
"tropical fruit, whole milk",root vegetables,0.012,0.2837,2.6024
"rolls/buns, root vegetables",other vegetables,0.0122,0.5021,2.5949
"root vegetables, yogurt",other vegetables,0.0129,0.5,2.5841
"whole milk, yogurt",tropical fruit,0.0151,0.2704,2.5771
pip fruit,tropical fruit,0.0204,0.2702,2.5746
"tropical fruit, whole milk",yogurt,0.0151,0.3582,2.5675
"whipped/sour cream, yogurt",other vegetables,0.0102,0.4902,2.5334
"other vegetables, whipped/sour cream",yogurt,0.0102,0.3521,2.5241
"other vegetables, root vegetables",tropical fruit,0.0123,0.2597,2.4745
"other vegetables, tropical fruit",yogurt,0.0123,0.3428,2.4571
"root vegetables, whole milk",other vegetables,0.0232,0.474,2.4498
"whipped/sour cream, whole milk",yogurt,0.0109,0.3375,2.4196
"citrus fruit, whole milk",yogurt,0.0103,0.3367,2.4134
"whole milk, yogurt",root vegetables,0.0145,0.2595,2.381
onions,other vegetables,0.0142,0.459,2.3723
"pork, whole milk",other vegetables,0.0102,0.4587,2.3707
"whipped/sour cream, whole milk",other vegetables,0.0146,0.4543,2.3477
chicken,root vegetables,0.0109,0.2536,2.3262
curd,yogurt,0.0173,0.3244,2.3256
"pip fruit, whole milk",other vegetables,0.0135,0.4493,2.3222
berries,yogurt,0.0106,0.318,2.2798
"curd, yogurt",whole milk,0.0101,0.5824,2.2791
root vegetables,other vegetables,0.0474,0.4347,2.2466
"butter, other vegetables",whole milk,0.0115,0.5736,2.2449
cream cheese,yogurt,0.0124,0.3128,2.2424
"root vegetables, tropical fruit",whole milk,0.012,0.57,2.231
"citrus fruit, whole milk",other vegetables,0.013,0.4267,2.2051
"root vegetables, yogurt",whole milk,0.0145,0.563,2.2034
"tropical fruit, yogurt",other vegetables,0.0123,0.4201,2.1713
"domestic eggs, other vegetables",whole milk,0.0123,0.5525,2.1623
chicken,other vegetables,0.0179,0.4171,2.1554
"butter, whole milk",other vegetables,0.0115,0.417,2.155
hamburger meat,other vegetables,0.0138,0.4159,2.1494
"other vegetables, whole milk",yogurt,0.0223,0.2976,2.133
"root vegetables, whole milk",yogurt,0.0145,0.2973,2.1311
"domestic eggs, whole milk",other vegetables,0.0123,0.4102,2.1198
"tropical fruit, whole milk",other vegetables,0.0171,0.4038,2.0871
whipped/sour cream,other vegetables,0.0289,0.4028,2.0819
whipped/sour cream,yogurt,0.0207,0.2894,2.0743
"whole milk, yogurt",other vegetables,0.0223,0.3975,2.0541
"whipped/sour cream, yogurt",whole milk,0.0109,0.5245,2.0527
"rolls/buns, root vegetables",whole milk,0.0127,0.523,2.0469
"fruit/vegetable juice, whole milk",other vegetables,0.0105,0.3931,2.0318
"other vegetables, pip fruit",whole milk,0.0135,0.5175,2.0254
"tropical fruit, yogurt",whole milk,0.0151,0.5174,2.0248
"other vegetables, yogurt",whole milk,0.0223,0.5129,2.0072
tropical fruit,yogurt,0.0293,0.2791,2.0005
"other vegetables, whipped/sour cream",whole milk,0.0146,0.507,1.9844
"rolls/buns, whole milk",yogurt,0.0156,0.2747,1.969
"other vegetables, root vegetables",yogurt,0.0129,0.2725,1.9536
"fruit/vegetable juice, other vegetables",whole milk,0.0105,0.4976,1.9474
butter,whole milk,0.0276,0.4972,1.9461
beef,other vegetables,0.0197,0.376,1.9431
pork,other vegetables,0.0217,0.3757,1.9415
"other vegetables, rolls/buns",yogurt,0.0115,0.2697,1.9332
curd,whole milk,0.0261,0.4905,1.9195
butter milk,other vegetables,0.0104,0.3709,1.9169
"other vegetables, root vegetables",whole milk,0.0232,0.4893,1.9148
frozen vegetables,other vegetables,0.0178,0.37,1.9121
butter,yogurt,0.0146,0.2642,1.894
citrus fruit,yogurt,0.0217,0.2617,1.8758
"soda, whole milk",yogurt,0.0105,0.2614,1.874
butter,other vegetables,0.02,0.3615,1.8681
"other vegetables, tropical fruit",whole milk,0.0171,0.4759,1.8626
"citrus fruit, yogurt",whole milk,0.0103,0.4742,1.8558
fruit/vegetable juice,yogurt,0.0187,0.2588,1.8551
domestic eggs,whole milk,0.03,0.4728,1.8502
frozen vegetables,yogurt,0.0124,0.2579,1.8489
"other vegetables, pork",whole milk,0.0102,0.4695,1.8374
"other vegetables, pastry",whole milk,0.0106,0.4685,1.8334
domestic eggs,other vegetables,0.0223,0.351,1.8138
citrus fruit,other vegetables,0.0289,0.3489,1.8031
"soda, whole milk",other vegetables,0.0139,0.3477,1.797
cream cheese,other vegetables,0.0137,0.3462,1.789
pip fruit,other vegetables,0.0261,0.3454,1.7852
frankfurter,rolls/buns,0.0192,0.3259,1.7716
"rolls/buns, yogurt",whole milk,0.0156,0.4527,1.7716
sausage,rolls/buns,0.0306,0.3258,1.771
tropical fruit,other vegetables,0.0359,0.3421,1.7678
"citrus fruit, other vegetables",whole milk,0.013,0.4507,1.7639
whipped/sour cream,whole milk,0.0322,0.4496,1.7598
"sausage, whole milk",other vegetables,0.0102,0.3401,1.7579
root vegetables,whole milk,0.0489,0.4487,1.756
"rolls/buns, tropical fruit",whole milk,0.011,0.4463,1.7466
margarine,other vegetables,0.0197,0.3368,1.7407
sugar,whole milk,0.015,0.4444,1.7394
hamburger meat,whole milk,0.0147,0.4434,1.7354
"rolls/buns, yogurt",other vegetables,0.0115,0.3343,1.7278
ham,whole milk,0.0115,0.4414,1.7275
sliced cheese,whole milk,0.0108,0.4398,1.7214
"bottled water, other vegetables",whole milk,0.0108,0.4344,1.7002
white bread,other vegetables,0.0137,0.3261,1.6853
curd,other vegetables,0.0172,0.3225,1.6668
"other vegetables, soda",whole milk,0.0139,0.4255,1.6651
frozen vegetables,whole milk,0.0204,0.4249,1.6631
sugar,other vegetables,0.0108,0.3183,1.6451
"other vegetables, rolls/buns",whole milk,0.0179,0.42,1.6439
"pastry, whole milk",other vegetables,0.0106,0.318,1.6437
"rolls/buns, whole milk",other vegetables,0.0179,0.316,1.633
cream cheese,whole milk,0.0165,0.4154,1.6257
butter milk,whole milk,0.0116,0.4145,1.6224
"bottled water, whole milk",other vegetables,0.0108,0.3136,1.6208
margarine,whole milk,0.0242,0.4132,1.6171
dessert,other vegetables,0.0116,0.3123,1.6142
